27223,jup_br_easteregg_bunnykill,,,10,2000,44397,,,,,,,,,,0
27227,jup_br_easteregg_droneassemble,JUP_CHALLENGE/JUP_EASTER_EGG_BR_DRONE_ASSEMBLE,JUP_CHALLENGE/JUP_EASTER_EGG_BR_DRONE_ASSEMBLE_DESC,1,2000,39718,,,,,,,,,,0
29379,jup_br_easteregg_kill_on_zipline,JUP_CHALLENGE/JUP_BR_EASTEREGG_KILL_ON_ZIPLINE,JUP_CHALLENGE/JUP_BR_EASTEREGG_KILL_ON_ZIPLINE_DESC,1,2500,49270,,,,,,,,,,0
43510,jup_br_easteregg_bunker13,JUP_CHALLENGE/JUP_EASTER_EGG_BR_BUNKER_13,JUP_CHALLENGE/JUP_EASTER_EGG_BR_BUNKER_13_DESC,1,2000,60253,,,,,,,,,,0
28402,jup_br_s2_map_quest_mastery,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_MASTERY,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_MASTERY_DESC,7,5000,51067,,,,28403|28414|28413|28415|28412|28411|28410,2,,,,,0
28403,jup_br_s2_map_quest_dragon,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_DRAGON,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_DRAGON_DESC,1,2000,48116,,,,,2,,,,,0
28414,jup_br_s2_map_quest_vault,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_VAULT,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_VAULT_DESC,1,2000,52833,,,,,2,,,,,0
28413,jup_br_s2_map_quest_sdbox,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_SDBOX,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_SDBOX_DESC,1,1500,51857,,,,,2,,,,,0
28415,jup_br_s2_map_quest_hallway,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_HALLWAY,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_HALLWAY_DESC,1,1000,51811,,,,,2,,,,,0
28412,jup_br_s2_map_quest_locked_room,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_LOCKED_ROOM,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_LOCKED_ROOM_DESC,1,1000,52515,,,,,2,,,,,0
28411,jup_br_s2_map_quest_cursed,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_CURSED,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_CURSED_DESC,1,1500,,,,,,2,,,,,0
28410,jup_br_s2_map_quest_race,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_RACE,JUP_CHALLENGE/JUP_BR_S2_MAP_QUEST_RACE_DESC,1,1000,,,,,,2,,,,,0
29296,jup_br_s2_squad_wipe_streak_1,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK_1_DESC,1,750,51808,,,,,2,,,,,0
29614,jup_br_s2_squad_wipe_streak_3,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK_3_DESC,1,1500,51809,,,,,2,,,,,0
29615,jup_br_s2_squad_wipe_streak_5,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_STREAK_5_DESC,1,2250,51810,,,,,2,,,,,0
29617,jup_br_s2_squad_wipes_25,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE,JUP_CHALLENGE/JUP_BR_RES_SQUAD_WIPE_25_DESC,25,2000,51665,,,,,2,,,,,0
35523,jup_br_s3_culture_win,CHALLENGE/SECRET,CHALLENGE/CULTURE_WINS,1,,56439,,,,,3,,,,,0
29388,jup_br_s3_resurgence_mastery,CHALLENGE/SECRET,CHALLENGE/S3_RESURGENCE_MASTERY,3,,56387,,,,29389|29714|29715,3,,,,,0
29389,jup_br_s3_resurgence_win,CHALLENGE/SECRET,CHALLENGE/RESURGENCE_WINS,1|10,,55546|55547,,,,,3,,,,,0
29714,jup_br_s3_resurgence_avenge_squad,CHALLENGE/SECRET,CHALLENGE/RESURGENCE_AVENGE,25,,57071,,,,,3,,,,,0
29715,jup_br_s3_resurgence_headshots,CHALLENGE/SECRET,CHALLENGE/RESURGENCE_HEADSHOTS,100,,58349,,,,,3,,,,,0
29718,jup_br_s3_rebirth_mastery,CHALLENGE/SECRET,CHALLENGE/S3_REBIRTH_MASTERY,6,,58459,,,,29719|29720|29766|29767|29768|29769,3,,,,,0
29719,jup_br_s3_rebirth_contracts,CHALLENGE/SECRET,CHALLENGE/REBIRTH_CONTRACTS,50,,58183,,,,,3,,,,,0
29720,jup_br_s3_rebirth_loot,CHALLENGE/SECRET,CHALLENGE/REBIRTH_LOOT,250,,58324,,,,,3,,,,,0
29766,jup_br_s3_rebirth_squad_landings,CHALLENGE/SECRET,CHALLENGE/REBIRTH_SQUAD_LANDING,25,,57075,,,,,3,,,,,0
29767,jup_br_s3_rebirth_squad_rage,CHALLENGE/SECRET,CHALLENGE/REBIRTH_SQUAD_RAGE,100,,53994,,,,,3,,,,,0
29768,jup_br_s3_rebirth_drive_once,CHALLENGE/SECRET,CHALLENGE/REBIRTH_DRIVE_ONCE,25,,56385,,,,,3,,,,,0
29769,jup_br_s3_rebirth_three_uav_towers,CHALLENGE/SECRET,CHALLENGE/REBIRTH_THREE_UAV_TOWERS,1,,58480,,,,,3,,,,,0
34507,jup_br_s3_biometric_scan,JUP_CHALLENGE/BIOMETRIC_SCAN_DAILY_SCAN,JUP_CHALLENGE/BIOMETRIC_SCAN_DAILY_SCAN_DESC,3|7|12|17|21|27,,55549|3955|3951|57072|58325|56437,,,,,3,,,,,0
36241,jup_br_s3_culture_play,CHALLENGE/SECRET,CHALLENGE/CULTURE_PLAY,1,,58350,,,,,3,,,,,0
36242,jup_br_s3_resurgence_loaded_play,CHALLENGE/SECRET,CHALLENGE/RESURGENCE_LOADED_PLAY,1,,53992,,,,,3,,,,,0
